State,1939,1949,1959,1969,1979,1989,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Minnesota,1276.0,3013.0,5275,9250.0,16654.0,33340.0,34451.0,35093.0,36146.0,37412.0,36937.0,39258.0,39123.0,40707.0,39802.0,40577.0,43330.0,42833.0,45375.0,46906.0,48489.0,50582.0,51938.0,53069.0,53215.0,54959.0,56268.0,57230.0,56670.0,56910.0,57346.0,57782.0,58221.0,58663.0,59069.0
Mississippi,559.0,1416.0,3314,5959.0,12274.0,25079.0,24367.0,24367.0,25153.0,26910.0,27689.0,28648.0,29857.0,30743.0,31857.0,32957.0,32800.0,34555.0,35684.0,36590.0,37924.0,42403.0,44498.0,45644.0,46818.0,41646.0,41994.0,42187.0,42564.0,42744.0,42925.0,43107.0,45574.0,45192.0,47655.0
Missouri,1159.0,2581.0,4536,8064.0,14543.0,28166.0,28895.0,29382.0,30310.0,31217.0,33341.0,34789.0,35624.0,36512.0,35656.0,36764.0,37695.0,38826.0,38006.0,38971.0,39922.0,43206.0,44712.0,45317.0,46411.0,46406.0,47517.0,48329.0,47394.0,47849.0,48293.0,49208.0,50064.0,50817.0,51557.0
Montana,1184.0,2962.0,4425,7875.0,15080.0,29526.0,27590.0,27617.0,28200.0,28785.0,29364.0,31836.0,32536.0,30034.0,32121.0,32930.0,34379.0,35754.0,37184.0,38485.0,39832.0,42874.0,44426.0,45759.0,47132.0,48546.0,49999.0,49893.0,50999.0,51215.0,51422.0,52776.0,54034.0,52135.0,52894.0
Nebraska,829.0,2292.0,3876,7633.0,14236.0,27024.0,27231.0,28768.0,29564.0,30822.0,31496.0,35045.0,35800.0,36571.0,33284.0,34175.0,36236.0,37896.0,38352.0,39456.0,41026.0,42885.0,44120.0,46080.0,47521.0,48718.0,48931.0,49545.0,50318.0,51364.0,52338.0,53473.0,54506.0,55267.0,56463.0
Nevada,1557.0,3209.0,5693,9615.0,17290.0,31970.0,33857.0,34119.0,33955.0,34836.0,36167.0,39179.0,39002.0,41007.0,39390.0,40172.0,41524.0,41795.0,42254.0,43394.0,44426.0,47710.0,50067.0,51524.0,53023.0,54559.0,55957.0,57391.0,56703.0,56943.0,57376.0,57812.0,54280.0,56672.0,58167.0
New Hampshire,1258.0,2712.0,4455,8016.0,13508.0,29798.0,33170.0,33931.0,34121.0,34974.0,35792.0,43455.0,44234.0,45187.0,37734.0,38303.0,38911.0,40519.0,42689.0,43941.0,45263.0,47609.0,48934.0,51365.0,52792.0,54177.0,55599.0,57057.0,58554.0,58802.0,57253.0,57833.0,58146.0,60003.0,61789.0
New Jersey,2093.0,3511.0,5871,9650.0,18851.0,37485.0,41027.0,42680.0,44693.0,46801.0,47910.0,52411.0,53196.0,54342.0,52174.0,53281.0,54575.0,54166.0,55592.0,56600.0,57707.0,61277.0,63018.0,64809.0,66985.0,68207.0,68797.0,70060.0,69038.0,69330.0,69623.0,69917.0,70212.0,76376.0,77489.0
New Mexico,1144.0,3215.0,5382,10021.0,15406.0,25790.0,26239.0,26532.0,27922.0,28865.0,29349.0,30914.0,31580.0,33714.0,32554.0,33785.0,36490.0,36687.0,38067.0,39328.0,41637.0,45112.0,47341.0,46401.0,46950.0,48011.0,46573.0,45727.0,46003.0,47163.0,47500.0,47839.0,47826.0,54256.0,54923.0
New York,2604.0,3706.0,6537,11240.0,20400.0,40000.0,43335.0,44999.0,45772.0,47250.0,48115.0,48600.0,49320.0,50300.0,50173.0,50920.0,53081.0,52600.0,55181.0,56200.0,57354.0,62332.0,65234.0,71470.0,72708.0,74449.0,75279.0,76566.0,77628.0,77957.0,79637.0,83585.0,85889.0,87543.0,87738.0
North Carolina,946.0,2688.0,4178,7762.0,14445.0,28952.0,28791.0,29315.0,29728.0,31079.0,30564.0,32383.0,34398.0,37279.0,39419.0,41167.0,42959.0,43076.0,43211.0,43313.0,43922.0,47354.0,48603.0,48648.0,46850.0,46605.0,45947.0,45355.0,47783.0,47985.0,49837.0,50861.0,53975.0,54682.0,54392.0
North Dakota,745.0,2324.0,3695,6840.0,13684.0,23788.0,24495.0,25211.0,25506.0,26327.0,26969.0,27905.0,28438.0,29215.0,29863.0,30891.0,31709.0,33210.0,35441.0,36449.0,37773.0,40279.0,41534.0,42964.0,44266.0,46058.0,47344.0,48666.0,50025.0,50237.0,51618.0,54421.0,53434.0,52328.0,54837.0
Ohio,1587.0,3088.0,5124,8594.0,16100.0,32467.0,32932.0,34519.0,35678.0,36685.0,37835.0,39938.0,40352.0,41986.0,41436.0,42716.0,44492.0,45452.0,47482.0,48692.0,50314.0,53410.0,54925.0,55931.0,57291.0,57528.0,58092.0,57270.0,56172.0,56410.0,57000.0,58000.0,57799.0,59713.0,61687.0
